no;methodName;statements;involvedModules;fragments;visibility;baseSplit;fineGrained;nested;
279;ASN1Set();0;0;0;invisible;1;0;0;
280;BERNull();0;0;0;invisible;1;0;0;
281;DERNull();0;0;0;invisible;1;0;0;
282;ASN1Null();0;0;0;invisible;1;0;0;
283;DERObject();0;0;0;invisible;1;0;0;
284;ASN1Object();0;0;0;invisible;1;0;0;
285;BERFactory();0;0;0;invisible;1;0;0;
286;DERBoolean(byte[]);0;0;0;invisible;1;0;0;
287;DERBoolean(boolean);0;0;0;invisible;1;0;0;
288;DERFactory();0;0;0;invisible;1;0;0;
289;DERInteger(int);0;0;0;invisible;1;0;0;
290;DERInteger(BigInteger);0;0;0;invisible;1;0;0;
291;DERInteger(byte[]);0;0;0;invisible;1;0;0;
292;DERUTCTime(String);0;0;0;invisible;1;0;0;
293;DERUTCTime(byte[]);0;0;0;invisible;1;0;0;
294;BERSequence();0;0;0;invisible;1;0;0;
295;BERSequence(DEREncodable);0;0;0;invisible;1;0;0;
296;BERSequence(DEREncodableVector);0;0;0;invisible;1;0;0;
297;DERSequence();0;0;0;invisible;1;0;0;
298;DERSequence(DEREncodable);0;0;0;invisible;1;0;0;
299;DERSequence(DEREncodableVector);0;0;0;invisible;1;0;0;
300;DERSequence(ASN1Encodable[]);0;0;0;invisible;1;0;0;
301;ASN1Sequence();0;0;0;invisible;1;0;0;
302;BERGenerator(OutputStream);0;0;0;invisible;1;0;0;
303;BERGenerator(OutputStream,int,boolean);0;0;0;invisible;1;0;0;
304;BERSetParser(ASN1StreamParser);0;0;0;invisible;1;0;0;
305;DERBMPString(byte[]);0;0;0;invisible;1;0;0;
306;DERBMPString(String);0;0;0;invisible;1;0;0;
307;DERBitString(byte,int);0;0;0;invisible;1;0;0;
308;DERBitString(byte[],int);0;0;0;invisible;1;0;0;
309;DERBitString(byte[]);0;0;0;invisible;1;0;0;
310;DERBitString(DEREncodable);0;0;0;invisible;1;0;0;
311;DERGenerator(OutputStream);0;0;0;invisible;1;0;0;
312;DERGenerator(OutputStream,int,boolean);0;0;0;invisible;1;0;0;
313;DERIA5String(byte[]);0;0;0;invisible;1;0;0;
314;DERIA5String(String);0;0;0;invisible;1;0;0;
315;DERIA5String(String,boolean);0;0;0;invisible;1;0;0;
316;DERSetParser(ASN1StreamParser);0;0;0;invisible;1;0;0;
317;DERT61String(byte[]);0;0;0;invisible;1;0;0;
318;DERT61String(String);0;0;0;invisible;1;0;0;
319;OIDTokenizer(String);0;0;0;invisible;1;0;0;
320;ASN1Encodable();0;0;0;invisible;1;0;0;
321;ASN1Generator(OutputStream);0;0;0;invisible;1;0;0;
322;DEREnumerated(int);0;0;0;invisible;1;0;0;
323;DEREnumerated(BigInteger);0;0;0;invisible;1;0;0;
324;DEREnumerated(byte[]);0;0;0;invisible;1;0;0;
325;DERUTF8String(byte[]);0;0;0;invisible;1;0;0;
326;DERUTF8String(String);0;0;0;invisible;1;0;0;
327;DERUnknownTag(int,byte[]);0;0;0;invisible;1;0;0;
328;BERInputStream(InputStream);0;0;0;invisible;1;0;0;
329;DERInputStream(InputStream);0;0;0;invisible;1;0;0;
330;DEROctetString(byte[]);0;0;0;invisible;1;0;0;
331;DEROctetString(DEREncodable);0;0;0;invisible;1;0;0;
332;ASN1InputStream(InputStream);0;0;0;invisible;1;0;0;
333;ASN1InputStream(byte[]);0;0;0;invisible;1;0;0;
334;ASN1InputStream(byte[],boolean);0;0;0;invisible;1;0;0;
335;ASN1InputStream(InputStream,int);0;0;0;invisible;1;0;0;
336;ASN1InputStream(InputStream,int,boolean);0;0;0;invisible;1;0;0;
337;ASN1OctetString(byte[]);0;0;0;invisible;1;0;0;
338;ASN1OctetString(DEREncodable);0;0;0;invisible;1;0;0;
339;BEROutputStream(OutputStream);0;0;0;invisible;1;0;0;
340;BERTaggedObject(int,DEREncodable);0;0;0;invisible;1;0;0;
341;BERTaggedObject(boolean,int,DEREncodable);0;0;0;invisible;1;0;0;
342;BERTaggedObject(int);0;0;0;invisible;1;0;0;
343;DEROutputStream(OutputStream);0;0;0;invisible;1;0;0;
344;DERTaggedObject(int,DEREncodable);0;0;0;invisible;1;0;0;
345;DERTaggedObject(boolean,int,DEREncodable);0;0;0;invisible;1;0;0;
346;DERTaggedObject(int);0;0;0;invisible;1;0;0;
347;LazyDERSequence(byte[]);0;0;0;invisible;1;0;0;
348;ASN1ObjectParser(int,int,InputStream);0;0;0;invisible;1;0;0;
349;ASN1OutputStream(OutputStream);0;0;0;invisible;1;0;0;
350;ASN1StreamParser(InputStream);0;0;0;invisible;1;0;0;
351;ASN1StreamParser(InputStream,int);0;0;0;invisible;1;0;0;
352;ASN1StreamParser(byte[]);0;0;0;invisible;1;0;0;
353;ASN1TaggedObject(int,DEREncodable);0;0;0;invisible;1;0;0;
354;ASN1TaggedObject(boolean,int,DEREncodable);0;0;0;invisible;1;0;0;
355;DERGeneralString(byte[]);0;0;0;invisible;1;0;0;
356;DERGeneralString(String);0;0;0;invisible;1;0;0;
357;DERNumericString(byte[]);0;0;0;invisible;1;0;0;
358;DERNumericString(String);0;0;0;invisible;1;0;0;
359;DERNumericString(String,boolean);0;0;0;invisible;1;0;0;
360;DERVisibleString(byte[]);0;0;0;invisible;1;0;0;
361;DERVisibleString(String);0;0;0;invisible;1;0;0;
362;BERSequenceParser(ASN1StreamParser);0;0;0;invisible;1;0;0;
363;DERConstructedSet();0;0;0;invisible;1;0;0;
364;DERConstructedSet(DEREncodable);0;0;0;invisible;1;0;0;
365;DERConstructedSet(DEREncodableVector);0;0;0;invisible;1;0;0;
366;DERSequenceParser(ASN1StreamParser);0;0;0;invisible;1;0;0;
367;DEREncodableVector();0;0;0;invisible;1;0;0;
368;DERGeneralizedTime(String);0;0;0;invisible;1;0;0;
369;DERGeneralizedTime(byte[]);0;0;0;invisible;1;0;0;
370;DERPrintableString(byte[]);0;0;0;invisible;1;0;0;
371;DERPrintableString(String);0;0;0;invisible;1;0;0;
372;DERPrintableString(String,boolean);0;0;0;invisible;1;0;0;
373;DERUniversalString(byte[]);0;0;0;invisible;1;0;0;
374;LimitedInputStream(InputStream);0;0;0;invisible;1;0;0;
375;ASN1EncodableVector();0;0;0;invisible;1;0;0;
376;DERObjectIdentifier(byte[]);0;0;0;invisible;1;0;0;
377;DERObjectIdentifier(String);0;0;0;invisible;1;0;0;
378;BEROctetStringParser(ASN1StreamParser);0;0;0;invisible;1;0;0;
379;BEROctetStringParser(ASN1ObjectParser);0;0;0;invisible;1;0;0;
380;BERSequenceGenerator(OutputStream);0;0;0;invisible;1;0;0;
381;BERSequenceGenerator(OutputStream,int,boolean);0;0;0;invisible;1;0;0;
382;DEROctetStringParser(DefiniteLengthInputStream);0;0;0;invisible;1;0;0;
